priority_rank_global,priority_rank_region,region,OBJECTID,road_name,road_class,land_use,archetype,latitude,longitude,posted_limit_kmh,speed_85th_pct_kmh,safe_system_threshold_kmh,speed_excess_kmh,pct_vehicles_over_limit,final_score,final_grade,score_ci_low,score_ci_high,score_std,grade_uncertain,nilsson_fatality_reduction_pct,economic_benefit_usd_annual,economic_benefit_m_annual,impact_efficiency_index,vlm_pedestrian_infra,vlm_cyclist_infra,vlm_roadside_activity,vlm_vru_exposure,vlm_road_condition,vlm_signage_quality,yolo_pedestrian_count,yolo_moto_count,yolo_vru_ratio,primary_intervention,secondary_intervention
40.0000,38.0000,Thailand,34944,Phahon Yothin Road,secondary,URBAN,Urban Speedway,14.4131,100.8886,80.0000,84.5000,40.0000,44.5000,46.2000,60.5500,D,56.0200,65.0800,2.3100,True,95.0000,51378443,51.3780,21407684.5800,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
71.0000,69.0000,Thailand,17533,Pathum Thani-Bang Pahan Road,primary,URBAN,Urban Speedway,14.1185,100.5631,90.0000,101.2222,50.0000,51.2000,48.6000,63.8900,D,57.9700,69.8100,3.0200,False,94.0000,49706098,49.7060,16568699.3300,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
155.0000,150.0000,Thailand,17500,Asian Highway,trunk,URBAN,Urban Speedway,14.8784,100.4246,90.0000,109.4000,60.0000,49.4000,59.4000,61.9700,D,54.9200,69.0200,3.6000,True,91.0000,43427888,43.4280,12063302.2200,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
165.0000,160.0000,Thailand,17517,Asian Highway,trunk,URBAN,Urban Speedway,14.8784,100.4242,90.0000,109.7500,60.0000,49.8000,56.6000,61.7700,D,56.3400,67.2000,2.7700,False,91.1000,42604365,42.6040,11834545.8300,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
211.0000,206.0000,Thailand,36333,Borommaratchachonnani Elevated Highway,primary,URBAN,Urban Speedway,13.7819,100.4340,80.0000,99.8571,50.0000,49.9000,65.0000,62.8000,D,56.7500,68.8500,3.0900,False,93.7000,27129782,27.1300,10378646.5200,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
214.0000,209.0000,Thailand,40864, ,secondary,RURAL,Urban Speedway,9.2260,99.6897,90.0000,114.0000,60.0000,54.0000,58.3000,62.8900,D,57.7800,68.0000,2.6100,False,92.3000,18403508,18.4040,10333244.2400,,,,,,,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
239.0000,233.0000,Thailand,17515,Asian Highway,trunk,URBAN,Urban Speedway,14.5583,100.4944,90.0000,110.5000,60.0000,50.5000,62.7000,62.8400,D,56.5200,69.1600,3.2200,False,91.3000,33289735,33.2900,9863625.1900,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
241.0000,235.0000,Thailand,17502,Asian Highway,trunk,URBAN,Urban Speedway,14.5585,100.4946,90.0000,109.0000,60.0000,49.0000,62.8000,62.2700,D,57.2600,67.2800,2.5600,False,90.8000,32983049,32.9830,9781449.8800,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
242.0000,236.0000,Thailand,36883,Mittraphap Road,secondary,URBAN,Urban Speedway,14.5400,100.9502,85.0000,93.0000,40.0000,53.0000,40.7000,64.6700,D,58.3000,71.0400,3.2500,False,96.6000,17155736,17.1560,9758666.6700,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
301.0000,294.0000,Thailand,16195,Phahon Yothin Road,trunk,URBAN,Urban Speedway,15.4511,100.1409,90.0000,106.4000,60.0000,46.4000,56.5000,60.2800,D,55.7700,64.7900,2.3000,True,89.9000,27159092,27.1590,8437120.8400,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
318.0000,311.0000,Thailand,35042,Super Highway,trunk,URBAN,Urban Speedway,18.3007,99.4056,90.0000,106.7500,60.0000,46.8000,56.6000,60.1900,D,56.6400,63.7400,1.8100,False,90.0000,26344638,26.3450,8051539.7300,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
343.0000,335.0000,Thailand,15206,Nakhon In Road,primary,URBAN,Urban Speedway,13.8245,100.4566,80.0000,101.6250,50.0000,51.6000,60.2000,62.8900,D,56.6300,69.1500,3.1900,False,94.1000,17662485,17.6620,7515951.0600,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
363.0000,355.0000,Thailand,34330,Sa Kaeo-Khao Hin Son Road,primary,URBAN,Urban Speedway,13.7720,102.1171,90.0000,115.5000,50.0000,65.5000,69.2000,69.2200,D,62.9700,75.4700,3.1900,False,96.5000,20259582,20.2600,7266708.0300,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
389.0000,381.0000,Thailand,17523,Asian Highway,trunk,URBAN,Urban Speedway,15.2477,100.2049,90.0000,114.0000,60.0000,54.0000,68.0000,65.0200,D,59.9500,70.0900,2.5900,False,92.3000,21314013,21.3140,6949466.2500,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
396.0000,388.0000,Thailand,17494,Asian Highway,trunk,URBAN,Urban Speedway,15.2481,100.2050,90.0000,109.5000,60.0000,49.5000,58.8000,62.0100,D,56.4600,67.5600,2.8300,False,91.0000,21092880,21.0930,6866171.8800,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
407.0000,399.0000,Thailand,35129,Roi Et Outer Ring Road,primary,URBAN,Urban Speedway,16.0858,103.6621,90.0000,102.0000,50.0000,52.0000,40.0000,62.3000,D,58.1400,66.4600,2.1300,False,94.2000,18430808,18.4310,6714319.8500,,,,,,,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
409.0000,401.0000,Thailand,33644,Rama II Road,trunk,URBAN,Urban Speedway,13.3973,100.0026,90.0000,108.2500,60.0000,48.2000,56.2000,60.9900,D,56.2100,65.7700,2.4400,True,90.6000,20180216,20.1800,6706618.8100,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
411.0000,403.0000,Thailand,17519,Asian Highway,trunk,URBAN,Urban Speedway,15.0345,100.3341,80.0000,112.3333,60.0000,52.3000,76.1000,62.8300,D,56.3300,69.3300,3.3200,False,91.9000,20141021,20.1410,6682488.7200,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
439.0000,431.0000,Thailand,52329, ,secondary,URBAN,Urban Speedway,12.4823,102.1391,90.0000,89.2500,40.0000,49.2000,67.1000,66.9500,D,60.7700,73.1300,3.1500,False,96.0000,11685483,11.6850,6448942.0500,,,,,,,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
457.0000,449.0000,Thailand,45288, ,secondary,URBAN,Urban Speedway,8.1981,100.2856,87.0000,94.7500,40.0000,54.8000,33.1000,63.2900,D,56.8900,69.6900,3.2600,True,96.8000,15135291,15.1350,6306371.2500,,,,,,,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
462.0000,454.0000,Thailand,33635,Rama II Road,trunk,URBAN,Urban Speedway,13.3974,100.0023,90.0000,108.3333,60.0000,48.3000,54.2000,60.6700,D,56.6000,64.7400,2.0800,False,90.6000,18802633,18.8030,6246721.9300,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
470.0000,462.0000,Thailand,17498,Asian Highway,trunk,URBAN,Urban Speedway,15.0345,100.3344,80.0000,112.5000,60.0000,52.5000,81.5000,63.4500,D,58.1500,68.7500,2.7100,False,91.9000,18606611,18.6070,6173394.4900,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
481.0000,472.0000,Thailand,55620,Phahonyothin Road,trunk,URBAN,Urban Speedway,17.6344,99.2379,90.0000,106.2500,60.0000,46.2000,57.5000,60.0700,D,55.1500,64.9900,2.5100,True,89.8000,18493308,18.4930,6111469.9300,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
504.0000,495.0000,Thailand,28020, ,primary,URBAN,Urban Speedway,13.1253,102.2192,90.0000,110.0000,50.0000,60.0000,57.4000,67.9700,D,62.3600,73.5800,2.8600,False,95.7000,15153470,15.1530,5864345.9800,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
547.0000,537.0000,Thailand,17484,Asian Highway,trunk,URBAN,Urban Speedway,8.1349,99.8399,90.0000,110.0000,60.0000,50.0000,54.2000,61.1700,D,56.7600,65.5800,2.2500,True,91.1000,16671922,16.6720,5478778.1800,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
602.0000,591.0000,Thailand,44151, ,secondary,RURAL,Urban Speedway,16.3588,100.2051,85.0000,109.0000,60.0000,49.0000,70.2000,60.5500,D,54.9500,66.1500,2.8600,True,90.8000,9115923,9.1160,5022547.1100,,,,,,,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
609.0000,598.0000,Thailand,35817,Mittraphap Road,trunk,URBAN,Urban Speedway,16.8510,102.8577,78.0000,108.8000,60.0000,48.8000,76.1000,60.2900,D,55.8000,64.7800,2.2900,True,90.8000,15117005,15.1170,4964533.6600,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
658.0000,647.0000,Thailand,36795,Maha Sarakham Bypass Road,primary,URBAN,Urban Speedway,16.1922,103.2716,90.0000,102.0000,50.0000,52.0000,40.0000,62.3100,D,58.1700,66.4500,2.1100,False,94.2000,10369684,10.3700,4586326.4000,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
668.0000,656.0000,Thailand,34549,Sukhumvit Road,trunk,URBAN,Urban Speedway,12.4593,102.2335,90.0000,106.3333,60.0000,46.3000,61.1000,60.4700,D,56.0100,64.9300,2.2800,True,89.9000,12947445,12.9470,4503459.1300,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
712.0000,698.0000,Thailand,33985,Khotchaseni Road,trunk,URBAN,Urban Speedway,15.9911,101.0626,90.0000,106.5000,60.0000,46.5000,63.4000,60.8100,D,56.1500,65.4700,2.3800,True,89.9000,11897939,11.8980,4104152.8100,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
713.0000,699.0000,Thailand,33996,Khotchaseni Road,trunk,URBAN,Urban Speedway,15.9909,101.0626,90.0000,108.0000,60.0000,48.0000,56.2000,60.5100,D,55.3900,65.6300,2.6100,True,90.5000,11872553,11.8730,4101054.5800,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
723.0000,709.0000,Thailand,43944, ,secondary,URBAN,Urban Speedway,19.3243,100.1493,85.0000,100.0000,40.0000,60.0000,56.5000,68.8600,D,61.8200,75.9000,3.5900,False,97.4000,6262948,6.2630,4077440.1000,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
738.0000,723.0000,Thailand,53163, ,secondary,URBAN,Urban Speedway,16.6772,102.7558,80.0000,96.0000,40.0000,56.0000,47.6000,64.7500,D,55.6400,73.8600,4.6500,False,97.0000,7256384,7.2560,4006838.2100,,,,,,,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
753.0000,738.0000,Thailand,9839, ,trunk,URBAN,Urban Speedway,6.8475,100.9868,90.0000,112.0000,60.0000,52.0000,61.9000,63.0200,D,56.1500,69.8900,3.5100,False,91.8000,11361557,11.3620,3915078.2200,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
767.0000,752.0000,Thailand,54301, ,secondary,RURAL,Urban Speedway,14.7708,103.6236,90.0000,111.5000,60.0000,51.5000,62.5000,61.5800,D,56.3000,66.8600,2.6900,True,91.6000,5683923,5.6840,3832719.4900,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
769.0000,754.0000,Thailand,48499, ,secondary,URBAN,Urban Speedway,14.5874,100.8650,90.0000,94.0000,40.0000,54.0000,22.5000,63.1100,D,56.3400,69.8800,3.4500,True,96.7000,6238612,6.2390,3825022.6900,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
772.0000,757.0000,Thailand,16094,Phahon Yothin Road,trunk,URBAN,Urban Speedway,16.3488,99.5901,90.0000,109.0000,60.0000,49.0000,60.0000,61.4600,D,56.5600,66.3600,2.5000,False,90.8000,10919651,10.9200,3814059.0300,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
