priority_rank_global,priority_rank_region,region,OBJECTID,road_name,road_class,land_use,archetype,latitude,longitude,posted_limit_kmh,speed_85th_pct_kmh,safe_system_threshold_kmh,speed_excess_kmh,pct_vehicles_over_limit,final_score,final_grade,score_ci_low,score_ci_high,score_std,grade_uncertain,nilsson_fatality_reduction_pct,economic_benefit_usd_annual,economic_benefit_m_annual,impact_efficiency_index,vlm_pedestrian_infra,vlm_cyclist_infra,vlm_roadside_activity,vlm_vru_exposure,vlm_road_condition,vlm_signage_quality,yolo_pedestrian_count,yolo_moto_count,yolo_vru_ratio,primary_intervention,secondary_intervention
1.0000,1.0000,Maharashtra,3926,,trunk,RURAL,High-Volume Corridor,18.2480,75.9288,80.0000,102.0000,80.0000,22.0000,57.5000,45.7300,C,41.3400,50.1200,2.2400,True,62.2000,71267386,71.2670,23755795.3300,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
2.0000,2.0000,Maharashtra,3936,,trunk,RURAL,High-Volume Corridor,18.2480,75.9286,80.0000,101.0000,80.0000,21.0000,60.0000,45.6300,C,40.8600,50.4000,2.4300,True,60.6000,70494910,70.4950,23498303.3300,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
3.0000,3.0000,Maharashtra,3811,,trunk,RURAL,High-Volume Corridor,17.8317,75.4369,55.0000,107.6000,80.0000,27.6000,30.9000,44.6000,C,39.4900,49.7100,2.6100,True,69.4000,44212046,44.2120,14737348.6700,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
4.0000,4.0000,Maharashtra,3968,,trunk,RURAL,High-Volume Corridor,17.8585,75.5397,80.0000,99.0000,80.0000,19.0000,57.5000,44.2000,C,41.2300,47.1700,1.5100,True,57.4000,40866341,40.8660,13622113.6700,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
5.0000,5.0000,Maharashtra,3937,,trunk,RURAL,High-Volume Corridor,19.2219,75.7325,80.0000,94.6250,80.0000,14.6000,47.2000,40.7000,C,36.4000,45.0000,2.1900,True,48.9000,39307012,39.3070,13102337.3300,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
6.0000,6.0000,Maharashtra,3828,,trunk,RURAL,Infrastructure Void,21.1461,78.4669,60.0000,104.0000,80.0000,24.0000,100.0000,51.5900,C,49.2200,53.9600,1.2100,False,65.0000,30764959,30.7650,10254986.3300,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
7.0000,7.0000,Maharashtra,3823,,trunk,RURAL,Infrastructure Void,21.1462,78.4675,60.0000,101.0000,80.0000,21.0000,100.0000,50.4400,C,47.9700,52.9100,1.2600,False,60.6000,28577853,28.5780,9525951.0000,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
8.0000,8.0000,Maharashtra,3969,,trunk,RURAL,High-Volume Corridor,18.2925,74.7379,80.0000,95.4000,80.0000,15.4000,49.0000,41.9700,C,37.4800,46.4600,2.2900,True,50.5000,22623647,22.6240,7541215.6700,0.5,0.5,0.5,0.5,0.5,0.5,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
9.0000,9.0000,Maharashtra,3787,,trunk,RURAL,Infrastructure Void,21.5292,79.3403,60.0000,100.5000,80.0000,20.5000,95.1000,49.6300,C,47.5800,51.6800,1.0400,False,59.9000,18400409,18.4000,6133469.6700,0.5,0.5,0.5,0.5,0.5,0.5,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
10.0000,10.0000,Maharashtra,3810,,trunk,RURAL,High-Volume Corridor,19.7210,75.5481,80.0000,102.0000,80.0000,22.0000,63.8000,45.9500,C,43.2700,48.6300,1.3700,False,62.2000,17336330,17.3360,5778776.6700,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
11.0000,11.0000,Maharashtra,3807,,trunk,RURAL,High-Volume Corridor,19.7211,75.5479,80.0000,100.0000,80.0000,20.0000,58.3000,44.6500,C,39.4300,49.8700,2.6600,True,59.0000,16336930,16.3370,5445643.3300,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
12.0000,12.0000,Maharashtra,3875,,trunk,RURAL,High-Volume Corridor,17.9467,75.3522,80.0000,97.4000,80.0000,17.4000,54.5000,43.0200,C,38.2400,47.8000,2.4400,True,54.5000,13554220,13.5540,4518073.3300,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
13.0000,13.0000,Maharashtra,3644,,trunk,RURAL,High-Volume Corridor,17.4692,75.3560,55.0000,114.0000,80.0000,34.0000,0.0000,42.7400,C,38.1300,47.3500,2.3500,True,75.8000,13248713,13.2490,4416237.6700,0.5,0.5,0.5,0.5,0.5,0.5,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
14.0000,14.0000,Maharashtra,3620,,trunk,RURAL,High-Volume Corridor,17.4675,75.3526,55.0000,114.6667,80.0000,34.7000,0.0000,43.3000,C,38.9100,47.6900,2.2400,True,76.3000,12497033,12.4970,4165677.6700,0.5,0.5,0.5,0.5,0.5,0.5,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
15.0000,15.0000,Maharashtra,3654,,trunk,RURAL,Infrastructure Void,17.1874,74.8773,55.0000,85.5000,80.0000,5.5000,88.9000,41.6600,C,38.0300,45.2900,1.8500,True,23.4000,12045875,12.0460,4015291.6700,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
16.0000,16.0000,Maharashtra,3542,,trunk,RURAL,High-Volume Corridor,20.9294,75.2918,60.0000,100.0000,80.0000,20.0000,82.7000,47.5300,C,45.3100,49.7500,1.1300,False,59.0000,11015777,11.0160,3671925.6700,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
17.0000,17.0000,Maharashtra,3735,Nagpur Amravati Road,trunk,RURAL,Infrastructure Void,21.1401,78.8877,60.0000,97.5000,80.0000,17.5000,100.0000,48.6400,C,44.8600,52.4200,1.9300,False,54.7000,10310264,10.3100,3436754.6700,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
18.0000,18.0000,Maharashtra,3721,,primary,RURAL,Infrastructure Void,17.1275,74.0619,55.0000,89.3333,80.0000,9.3000,100.0000,45.2100,C,42.5400,47.8800,1.3700,False,35.7000,8569169,8.5690,3427667.6000,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
19.0000,19.0000,Maharashtra,3999,Mumbai Delhi Highway,trunk,RURAL,Infrastructure Void,19.6372,72.9132,40.0000,84.6667,80.0000,4.7000,100.0000,43.6300,C,40.3900,46.8700,1.6500,True,20.3000,10036292,10.0360,3345430.6700,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
20.0000,20.0000,Maharashtra,3798,,trunk,RURAL,Infrastructure Void,20.7812,78.9493,50.0000,91.3333,80.0000,11.3000,100.0000,46.3900,C,41.8400,50.9400,2.3200,True,41.1000,9732430,9.7320,3244143.3300,0.5,0.5,0.5,0.5,0.5,0.5,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
21.0000,21.0000,Maharashtra,3464,,trunk,RURAL,Infrastructure Void,18.6651,76.9459,55.0000,95.0000,80.0000,15.0000,100.0000,47.4000,C,42.4500,52.3500,2.5200,True,49.7000,9600803,9.6010,3200267.6700,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
22.0000,22.0000,Maharashtra,3799,,trunk,RURAL,Infrastructure Void,20.7786,78.9486,50.0000,91.0000,80.0000,11.0000,100.0000,46.2500,C,39.4200,53.0800,3.4800,True,40.3000,9350825,9.3510,3116941.6700,0.5,0.5,0.5,0.5,0.5,0.5,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
23.0000,23.0000,Maharashtra,3605,Nagpur Amravati Road,trunk,RURAL,Infrastructure Void,21.0413,77.9471,60.0000,101.0000,80.0000,21.0000,100.0000,50.1600,C,47.7400,52.5800,1.2400,False,60.6000,9089267,9.0890,3029755.6700,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
24.0000,24.0000,Maharashtra,3592,,trunk,RURAL,High-Volume Corridor,18.7713,75.7119,80.0000,107.0000,80.0000,27.0000,68.0000,48.8600,C,44.3300,53.3900,2.3100,False,68.8000,8927358,8.9270,2975786.0000,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
25.0000,25.0000,Maharashtra,3384,,trunk,RURAL,Infrastructure Void,20.4355,76.6303,55.0000,88.0000,80.0000,8.0000,74.9000,40.5300,C,36.5500,44.5100,2.0300,True,31.7000,8919543,8.9200,2973181.0000,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
26.0000,26.0000,Maharashtra,3716,,trunk,RURAL,Infrastructure Void,19.8255,74.2085,55.0000,88.0000,80.0000,8.0000,75.0000,41.1700,C,36.2800,46.0600,2.5000,True,31.7000,8734677,8.7350,2911559.0000,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
27.0000,27.0000,Maharashtra,3571,,trunk,RURAL,High-Volume Corridor,18.7713,75.7117,80.0000,106.6000,80.0000,26.6000,65.8000,48.4300,C,43.3700,53.4900,2.5800,False,68.3000,8607579,8.6080,2869193.0000,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
28.0000,28.0000,Maharashtra,3491,,trunk,RURAL,Infrastructure Void,20.4502,78.7600,50.0000,104.5000,80.0000,24.5000,100.0000,51.1000,C,46.7800,55.4200,2.2000,False,65.6000,8439254,8.4390,2813084.6700,0.5,0.5,0.5,0.5,0.5,0.5,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
29.0000,29.0000,Maharashtra,3580,,trunk,RURAL,High-Volume Corridor,21.0829,79.8056,80.0000,99.5000,80.0000,19.5000,55.0000,43.1500,C,39.4900,46.8100,1.8700,True,58.2000,8413034,8.4130,2804344.6700,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
30.0000,30.0000,Maharashtra,3982,,trunk,RURAL,Infrastructure Void,19.6760,73.5239,50.0000,86.5455,80.0000,6.5000,98.2000,44.1700,C,41.5000,46.8400,1.3600,True,27.0000,8405467,8.4050,2801822.3300,0.5,0.5,0.5,0.5,0.5,0.5,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
31.0000,31.0000,Maharashtra,3424,,trunk,RURAL,High-Volume Corridor,18.7304,75.0099,55.0000,107.1667,80.0000,27.2000,88.6000,50.7800,C,47.1000,54.4600,1.8800,False,69.0000,8056307,8.0560,2685435.6700,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
32.0000,32.0000,Maharashtra,3558,,trunk,RURAL,Infrastructure Void,18.9129,74.8354,55.0000,99.5000,80.0000,19.5000,85.9000,47.9200,C,42.2600,53.5800,2.8900,True,58.2000,7892878,7.8930,2630959.3300,0.5,0.5,0.5,0.5,0.5,0.5,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
33.0000,33.0000,Maharashtra,3825,,trunk,RURAL,High-Volume Corridor,18.0697,75.1053,80.0000,97.6667,80.0000,17.7000,54.2000,42.7500,C,38.2300,47.2700,2.3100,True,55.0000,7160523,7.1610,2537392.9800,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
34.0000,34.0000,Maharashtra,3503,,trunk,RURAL,High-Volume Corridor,18.0468,76.2215,55.0000,106.8864,80.0000,26.9000,29.8000,43.3700,C,41.1600,45.5800,1.1300,True,68.6000,7436838,7.4370,2478946.0000,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
35.0000,35.0000,Maharashtra,3933,,trunk,URBAN,Speed Creep Zone,18.6570,74.0790,50.0000,76.2500,60.0000,16.2000,75.0000,45.3700,C,42.5400,48.2000,1.4500,False,61.7000,7960417,7.9600,2457677.3700,0.5,0.5,0.5,0.5,0.5,0.5,,,,Speed camera deployment (fixed + average) + signage visibility audit,"Road surface treatments (rumble strips, optical narrowing) to reduce speeds"
36.0000,36.0000,Maharashtra,3653,,trunk,RURAL,Infrastructure Void,20.6759,76.9020,50.0000,90.5000,80.0000,10.5000,100.0000,45.2800,C,40.8100,49.7500,2.2800,True,38.9000,7226706,7.2270,2408902.0000,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
37.0000,37.0000,Maharashtra,3106,,primary,RURAL,High-Volume Corridor,19.5245,75.9398,55.0000,97.7500,80.0000,17.8000,51.1000,41.3900,C,37.8000,44.9800,1.8300,True,55.1000,5968042,5.9680,2387216.8000,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
38.0000,38.0000,Maharashtra,3414,,trunk,RURAL,High-Volume Corridor,21.0229,76.0493,70.0000,99.2500,80.0000,19.2000,66.9000,44.8700,C,39.7300,50.0100,2.6200,True,57.8000,7136417,7.1360,2378805.6700,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
39.0000,39.0000,Maharashtra,3403,,trunk,RURAL,Infrastructure Void,21.0231,76.0494,60.0000,99.3636,80.0000,19.4000,83.1000,46.9200,C,42.9500,50.8900,2.0300,False,58.0000,7051168,7.0510,2350389.3300,,,,,,,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
40.0000,40.0000,Maharashtra,3382,,trunk,RURAL,High-Volume Corridor,20.9080,76.2279,60.0000,101.2432,80.0000,21.2000,76.3000,46.8300,C,42.0300,51.6300,2.4500,True,61.0000,6712070,6.7120,2237356.6700,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
41.0000,41.0000,Maharashtra,3463,,trunk,RURAL,Infrastructure Void,20.4504,78.7600,50.0000,96.0000,80.0000,16.0000,92.5000,46.8000,C,43.2300,50.3700,1.8200,False,51.8000,6416861,6.4170,2138953.6700,0.5,0.5,0.5,0.5,0.5,0.5,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
42.0000,42.0000,Maharashtra,3489,Amravati Bypass,trunk,URBAN,Urban Speedway,20.8959,77.7645,80.0000,92.0000,60.0000,32.0000,40.0000,51.6500,C,48.9500,54.3500,1.3800,False,81.9000,7414793,7.4150,2114886.7700,,,,,,,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
