priority_rank_global,priority_rank_region,region,OBJECTID,road_name,road_class,land_use,archetype,latitude,longitude,posted_limit_kmh,speed_85th_pct_kmh,safe_system_threshold_kmh,speed_excess_kmh,pct_vehicles_over_limit,final_score,final_grade,score_ci_low,score_ci_high,score_std,grade_uncertain,nilsson_fatality_reduction_pct,economic_benefit_usd_annual,economic_benefit_m_annual,impact_efficiency_index,vlm_pedestrian_infra,vlm_cyclist_infra,vlm_roadside_activity,vlm_vru_exposure,vlm_road_condition,vlm_signage_quality,yolo_pedestrian_count,yolo_moto_count,yolo_vru_ratio,primary_intervention,secondary_intervention
1.0000,1.0000,Thailand,16780,Srisawat Road,secondary,RURAL,Rural Risk Corridor,14.4600,99.1747,90.0000,85.1667,60.0000,25.2000,11.0000,44.1200,C,38.8700,49.3700,2.6800,True,75.4000,91997275,91.9970,45998637.5000,,,,,,,,,,"Roadside safety treatment: barriers, clear zones, hazard removal",Collision warning systems + periodic safety rest areas
2.0000,2.0000,Thailand,55624,Phahonyothin Road,trunk,RURAL,High-Volume Corridor,17.2653,99.1368,90.0000,111.5417,80.0000,31.5000,72.7000,50.4600,C,45.6100,55.3100,2.4800,False,73.5000,134126983,134.1270,44708994.3300,0.5,0.5,0.5,0.5,0.5,0.5,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
3.0000,3.0000,Thailand,55619,Phahonyothin Road,trunk,RURAL,High-Volume Corridor,17.2653,99.1365,90.0000,110.5833,80.0000,30.6000,66.1000,49.5400,C,46.3800,52.7000,1.6100,False,72.6000,132568666,132.5690,44189555.3300,0.5,0.5,0.5,0.5,0.5,0.5,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
4.0000,4.0000,Thailand,36854,Debaratna Road,secondary,URBAN,Infrastructure Void,13.6019,100.8037,80.0000,70.7083,40.0000,30.7000,2.7000,48.6600,C,45.1300,52.1900,1.8000,False,89.8000,94786097,94.7860,39494207.0800,0.5,0.5,0.5,0.5,0.5,0.5,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
5.0000,5.0000,Thailand,36172,Phetkasem Road,trunk,RURAL,High-Volume Corridor,10.9619,99.3058,90.0000,108.4583,80.0000,28.5000,52.7000,46.2500,C,42.1000,50.4000,2.1200,False,70.4000,116908792,116.9090,38969597.3300,0.5,0.5,0.5,0.5,0.5,0.5,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
6.0000,6.0000,Thailand,34946,Phahon Yothin Road,secondary,URBAN,Infrastructure Void,14.1323,100.6497,80.0000,71.6429,40.0000,31.6000,2.3000,49.1300,C,45.7400,52.5200,1.7300,False,90.3000,87806163,87.8060,36585901.2500,0.5,0.5,0.5,0.5,0.5,0.5,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
7.0000,7.0000,Thailand,36151,Phetkasem Road,trunk,RURAL,High-Volume Corridor,10.9618,99.3053,90.0000,104.2143,80.0000,24.2000,46.7000,43.4200,C,39.4600,47.3800,2.0200,True,65.3000,108333355,108.3330,36111118.3300,0.5,0.5,0.5,0.5,0.5,0.5,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
8.0000,8.0000,Thailand,35346,Nittayo Road,trunk,RURAL,High-Volume Corridor,17.3104,104.4052,90.0000,107.9444,80.0000,27.9000,57.9000,46.3800,C,43.4100,49.3500,1.5200,False,69.8000,105191767,105.1920,35063922.3300,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
9.0000,9.0000,Thailand,47675, ,secondary,RURAL,High-Volume Corridor,17.8940,100.6492,30.0000,87.0455,60.0000,27.0000,94.8000,49.0600,C,44.2600,53.8600,2.4500,False,77.4000,67649191,67.6490,33824595.5000,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
10.0000,10.0000,Thailand,51332, ,secondary,RURAL,Rural Risk Corridor,14.5676,101.6837,84.0000,79.7273,60.0000,19.7000,17.9000,40.5900,C,33.5000,47.6800,3.6200,True,67.9000,67554483,67.5540,33777241.5000,,,,,,,,,,"Roadside safety treatment: barriers, clear zones, hazard removal",Collision warning systems + periodic safety rest areas
11.0000,11.0000,Thailand,34332,Sa Kaeo-Khao Hin Son Road,primary,RURAL,High-Volume Corridor,13.7713,101.7994,90.0000,112.5625,80.0000,32.6000,55.1000,48.8700,C,44.1700,53.5700,2.4000,False,74.5000,83467535,83.4680,33387014.0000,0.5,0.5,0.5,0.5,0.5,0.5,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
12.0000,12.0000,Thailand,17778, ,primary,RURAL,High-Volume Corridor,14.4856,98.8405,88.0000,100.2500,80.0000,20.2000,40.1000,40.0600,C,34.8400,45.2800,2.6700,True,59.5000,79839574,79.8400,31935829.6000,,,,,,,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
13.0000,13.0000,Thailand,34329,Sa Kaeo-Khao Hin Son Road,primary,RURAL,High-Volume Corridor,13.7715,101.7994,90.0000,113.7500,80.0000,33.8000,66.5000,51.0700,C,45.4300,56.7100,2.8700,False,75.5000,78626604,78.6270,31450641.6000,0.5,0.5,0.5,0.5,0.5,0.5,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
14.0000,14.0000,Thailand,55873,Rama II Road,secondary,URBAN,Infrastructure Void,13.6001,100.3417,80.0000,66.5455,40.0000,26.5000,6.5000,47.3400,C,42.4900,52.1900,2.4800,False,87.0000,75422951,75.4230,31426229.5800,0.5,0.5,0.5,0.5,0.5,0.5,,,,"Physical separation: pedestrian bridges, crash barriers, protected crossings","Interim: kerb extensions, raised crossings, road diet"
15.0000,15.0000,Thailand,55621,Phahonyothin Road,trunk,RURAL,High-Volume Corridor,17.9042,99.3200,87.0000,110.7500,80.0000,30.8000,65.3000,48.2900,C,43.9700,52.6100,2.2000,False,72.8000,93258511,93.2590,31086170.3300,0.5,0.5,0.5,0.5,0.5,0.5,,,,Peak-hour variable speed limits + congestion-responsive enforcement,Grade-separated pedestrian crossings at highest-volume points
