priority_rank_global,priority_rank_region,region,OBJECTID,road_name,road_class,land_use,archetype,latitude,longitude,posted_limit_kmh,speed_85th_pct_kmh,safe_system_threshold_kmh,speed_excess_kmh,pct_vehicles_over_limit,final_score,final_grade,score_ci_low,score_ci_high,score_std,grade_uncertain,nilsson_fatality_reduction_pct,economic_benefit_usd_annual,economic_benefit_m_annual,impact_efficiency_index,vlm_pedestrian_infra,vlm_cyclist_infra,vlm_roadside_activity,vlm_vru_exposure,vlm_road_condition,vlm_signage_quality,yolo_pedestrian_count,yolo_moto_count,yolo_vru_ratio,primary_intervention,secondary_intervention
40.0000,38.0000,Thailand,34944,Phahon Yothin Road,secondary,URBAN,Urban Speedway,14.4131,100.8886,80.0000,84.5000,40.0000,44.5000,46.2000,60.5500,D,56.0200,65.0800,2.3100,True,95.0000,51378443,51.3780,21407684.5800,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
71.0000,69.0000,Thailand,17533,Pathum Thani-Bang Pahan Road,primary,URBAN,Urban Speedway,14.1185,100.5631,90.0000,101.2222,50.0000,51.2000,48.6000,63.8900,D,57.9700,69.8100,3.0200,False,94.0000,49706098,49.7060,16568699.3300,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
155.0000,150.0000,Thailand,17500,Asian Highway,trunk,URBAN,Urban Speedway,14.8784,100.4246,90.0000,109.4000,60.0000,49.4000,59.4000,61.9700,D,54.9200,69.0200,3.6000,True,91.0000,43427888,43.4280,12063302.2200,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
165.0000,160.0000,Thailand,17517,Asian Highway,trunk,URBAN,Urban Speedway,14.8784,100.4242,90.0000,109.7500,60.0000,49.8000,56.6000,61.7700,D,56.3400,67.2000,2.7700,False,91.1000,42604365,42.6040,11834545.8300,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
211.0000,206.0000,Thailand,36333,Borommaratchachonnani Elevated Highway,primary,URBAN,Urban Speedway,13.7819,100.4340,80.0000,99.8571,50.0000,49.9000,65.0000,62.8000,D,56.7500,68.8500,3.0900,False,93.7000,27129782,27.1300,10378646.5200,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
214.0000,209.0000,Thailand,40864, ,secondary,RURAL,Urban Speedway,9.2260,99.6897,90.0000,114.0000,60.0000,54.0000,58.3000,62.8900,D,57.7800,68.0000,2.6100,False,92.3000,18403508,18.4040,10333244.2400,,,,,,,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
239.0000,233.0000,Thailand,17515,Asian Highway,trunk,URBAN,Urban Speedway,14.5583,100.4944,90.0000,110.5000,60.0000,50.5000,62.7000,62.8400,D,56.5200,69.1600,3.2200,False,91.3000,33289735,33.2900,9863625.1900,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
241.0000,235.0000,Thailand,17502,Asian Highway,trunk,URBAN,Urban Speedway,14.5585,100.4946,90.0000,109.0000,60.0000,49.0000,62.8000,62.2700,D,57.2600,67.2800,2.5600,False,90.8000,32983049,32.9830,9781449.8800,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
242.0000,236.0000,Thailand,36883,Mittraphap Road,secondary,URBAN,Urban Speedway,14.5400,100.9502,85.0000,93.0000,40.0000,53.0000,40.7000,64.6700,D,58.3000,71.0400,3.2500,False,96.6000,17155736,17.1560,9758666.6700,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
301.0000,294.0000,Thailand,16195,Phahon Yothin Road,trunk,URBAN,Urban Speedway,15.4511,100.1409,90.0000,106.4000,60.0000,46.4000,56.5000,60.2800,D,55.7700,64.7900,2.3000,True,89.9000,27159092,27.1590,8437120.8400,0.5,0.5,0.5,0.5,0.5,0.5,,,,National speed limit policy reform + average speed enforcement,Urban traffic management centres with variable speed signs
